"Genus","OTU","pvalue","seasoncooccurrence","Process"
"Aeromonas","Zotu289",0.001,"Fall-Summer-Winter","Eff"
"uncultured","Zotu290",0.022,"Spring-Winter","Eff"
"Rivicola","Zotu291",0.001,"Fall-Spring-Winter","Eff"
"Thiothrix","Zotu295",0.001,"Fall-Summer","Eff"
"Thermogutta","Zotu297",0.004,"Fall-Summer","Eff"
"[Agitococcus]_lubricus_group","Zotu298",0.025,"Fall-Spring-Winter","Eff"
"Thiothrix","Zotu301",0.001,"Spring-Winter","Eff"
"mle1-27","Zotu303",0.044,"Fall-Summer","Eff"
"Zoogloea","Zotu307",0.041,"Fall-Summer","Eff"
"Pedobacter","Zotu308",0.002,"Spring-Summer-Winter","Eff"
"env.OPS_17","Zotu310",0.011,"Spring-Winter","Eff"
"Hypnocyclicus","Zotu312",0.009,"Fall-Summer","Eff"
"Cloacibacterium","Zotu313",0.002,"Fall-Summer","Eff"
"env.OPS_17","Zotu314",0.002,"Fall-Summer","Eff"
"Pseudorhodobacter","Zotu323",0.01,"Fall-Summer","Eff"
"PeM15","Zotu324",0.001,"Fall-Summer","Eff"
"uncultured","Zotu326",0.026,"Fall-Spring-Winter","Eff"
"Marmoricola","Zotu328",0.001,"Spring-Winter","Eff"
"Ruminiclostridium","Zotu329",0.029,"Summer","Eff"
"Arcobacter","Zotu331",0.001,"Winter","Eff"
"Methyloversatilis","Zotu332",0.001,"Fall-Spring-Winter","Eff"
"uncultured","Zotu334",0.001,"Fall-Spring-Winter","Eff"
"Devosia","Zotu335",0.006,"Fall-Summer","Eff"
"Pajaroellobacter","Zotu336",0.007,"Fall-Spring-Winter","Eff"
"Cloacibacterium","Zotu339",0.023,"Summer","Eff"
"Syntrophomonas","Zotu342",0.006,"Spring-Winter","Eff"
"Aeromonas","Zotu343",0.002,"Fall-Summer-Winter","Eff"
"T34","Zotu344",0.001,"Spring-Winter","Eff"
"Flavobacterium","Zotu351",0.013,"Fall-Summer","Eff"
"Janthinobacterium","Zotu352",0.002,"Fall-Summer","Eff"
"Zoogloea","Zotu354",0.024,"Fall","Eff"
"Acinetobacter","Zotu356",0.001,"Spring-Winter","Eff"
"uncultured","Zotu361",0.001,"Fall-Summer","Eff"
"Mitochondria","Zotu362",0.001,"Spring-Winter","Eff"
"uncultured","Zotu364",0.034,"Fall","Eff"
"Zoogloea","Zotu365",0.005,"Fall-Summer","Eff"
"Comamonas","Zotu366",0.016,"Fall","Eff"
"Prosthecobacter","Zotu368",0.026,"Fall-Summer-Winter","Eff"
"Paludibacter","Zotu373",0.001,"Fall-Summer","Eff"
"Novosphingobium","Zotu374",0.002,"Fall-Spring-Winter","Eff"
"Coxiella","Zotu377",0.001,"Spring-Winter","Eff"
"Phenylobacterium","Zotu380",0.007,"Fall-Summer-Winter","Eff"
"Pseudarcobacter","Zotu384",0.001,"Fall-Summer-Winter","Eff"
"Iamia","Zotu385",0.041,"Fall","Eff"
"Thermomonas","Zotu386",0.025,"Fall-Summer","Eff"
"Halomonas","Zotu387",0.001,"Fall","Eff"
"Fluviicoccus","Zotu390",0.005,"Fall-Winter","Eff"
"uncultured","Zotu391",0.001,"Fall-Summer","Eff"
"SH3-11","Zotu392",0.017,"Fall-Winter","Eff"
"Cloacibacterium","Zotu393",0.001,"Fall-Summer","Eff"
"Flavobacterium","Zotu395",0.01,"Fall-Spring-Winter","Eff"
"Zoogloea","Zotu396",0.001,"Fall-Summer","Eff"
"Aeromonas","Zotu399",0.001,"Spring-Winter","Eff"
"Zoogloea","Zotu401",0.008,"Spring-Winter","Eff"
"Flavobacterium","Zotu404",0.027,"Fall-Summer-Winter","Eff"
"Ferribacterium","Zotu405",0.006,"Spring-Summer-Winter","Eff"
"Ruminiclostridium","Zotu406",0.045,"Fall-Summer-Winter","Eff"
"Fluviicoccus","Zotu410",0.018,"Fall-Summer","Eff"
"Comamonas","Zotu413",0.002,"Fall-Summer","Eff"
"Sericytochromatia","Zotu414",0.001,"Fall-Summer","Eff"
"BSV13","Zotu423",0.01,"Fall-Summer","Eff"
"Aquabacterium","Zotu424",0.001,"Fall-Summer","Eff"
"Halomonas","Zotu426",0.011,"Fall-Summer","Eff"
"uncultured","Zotu430",0.007,"Fall-Winter","Eff"
"Lautropia","Zotu434",0.005,"Fall-Summer","Eff"
"Uruburuella","Zotu437",0.003,"Fall-Summer-Winter","Eff"
"Thermomonas","Zotu440",0.002,"Fall-Summer","Eff"
"Acidovorax","Zotu443",0.001,"Fall-Summer","Eff"
"uncultured","Zotu445",0.013,"Fall-Winter","Eff"
"NS11-12_marine_group","Zotu447",0.005,"Spring","Eff"
"Sphaerotilus","Zotu450",0.044,"Fall-Summer","Eff"
"Acinetobacter","Zotu453",0.001,"Fall-Summer","Eff"
"Chryseobacterium","Zotu457",0.019,"Fall","Eff"
"Rhodoferax","Zotu459",0.002,"Spring-Winter","Eff"
"Hydrogenophaga","Zotu462",0.003,"Spring-Winter","Eff"
"Acinetobacter","Zotu473",0.022,"Spring-Winter","Eff"
"Sphaerotilus","Zotu474",0.001,"Fall-Spring-Winter","Eff"
"MBA03","Zotu476",0.001,"Fall-Spring-Winter","Eff"
"Hydrogenophaga","Zotu477",0.001,"Fall-Summer","Eff"
"Propionivibrio","Zotu479",0.004,"Fall-Summer","Eff"
"Arcobacter","Zotu480",0.001,"Spring-Winter","Eff"
"uncultured","Zotu482",0.026,"Fall-Summer","Eff"
"Coprothermobacter","Zotu483",0.001,"Spring-Winter","Eff"
"uncultured","Zotu485",0.001,"Fall-Summer-Winter","Eff"
"Paracoccus","Zotu488",0.015,"Fall-Summer","Eff"
"Rhodoferax","Zotu489",0.048,"Fall-Spring-Winter","Eff"
"Sulfurospirillum","Zotu490",0.037,"Spring-Winter","Eff"
"Defluviitoga","Zotu491",0.001,"Summer-Winter","Eff"
"Aquabacterium","Zotu500",0.031,"Spring-Winter","Eff"
"uncultured","Zotu501",0.012,"Fall-Summer","Eff"
"Comamonas","Zotu503",0.001,"Fall-Summer","Eff"
"Acidovorax","Zotu509",0.016,"Fall-Spring-Winter","Eff"
"uncultured","Zotu512",0.012,"Spring-Winter","Eff"
"Dechloromonas","Zotu513",0.001,"Spring-Winter","Eff"
"Chryseobacterium","Zotu517",0.001,"Spring-Winter","Eff"
"Tessaracoccus","Zotu518",0.04,"Fall-Summer-Winter","Eff"
"Trichococcus","Zotu524",0.001,"Spring-Winter","Eff"
"Acetomicrobium","Zotu525",0.022,"Winter","Eff"
"T34","Zotu527",0.005,"Fall-Summer","Eff"
"Acinetobacter","Zotu528",0.001,"Spring-Winter","Eff"
"uncultured","Zotu529",0.001,"Fall-Summer","Eff"
"Pseudomonas","Zotu531",0.001,"Spring-Winter","Eff"
"uncultured","Zotu532",0.001,"Spring-Winter","Eff"
"Arcobacter","Zotu533",0.031,"Spring-Winter","Eff"
"Luteolibacter","Zotu534",0.001,"Spring-Winter","Eff"
"Dechlorobacter","Zotu535",0.001,"Spring-Winter","Eff"
"Arcobacter","Zotu536",0.002,"Fall-Summer-Winter","Eff"
"Coprothermobacter","Zotu537",0.031,"Fall-Spring-Winter","Eff"
"Hydrogenophaga","Zotu542",0.039,"Fall-Spring-Winter","Eff"
"Flavobacterium","Zotu543",0.015,"Fall-Spring-Winter","Eff"
"Pseudomonas","Zotu550",0.008,"Fall-Summer","Eff"
"Rhodoferax","Zotu551",0.004,"Fall-Spring-Winter","Eff"
"Propionivibrio","Zotu553",0.003,"Fall-Summer","Eff"
"Acinetobacter","Zotu554",0.043,"Spring-Winter","Eff"
"uncultured","Zotu556",0.029,"Summer","Eff"
"Paludibacter","Zotu557",0.001,"Spring","Eff"
"Paludibacter","Zotu560",0.002,"Spring-Winter","Eff"
"Acinetobacter","Zotu561",0.038,"Spring-Winter","Eff"
"Cloacibacterium","Zotu563",0.022,"Spring-Winter","Eff"
"Acinetobacter","Zotu567",0.003,"Fall-Spring-Winter","Eff"
"Hydrogenophaga","Zotu568",0.002,"Spring-Winter","Eff"
"PB19","Zotu571",0.006,"Fall-Summer-Winter","Eff"
"Cloacibacterium","Zotu572",0.003,"Fall-Spring-Winter","Eff"
"Flavobacterium","Zotu573",0.002,"Fall-Spring-Winter","Eff"
"Comamonas","Zotu574",0.048,"Fall-Summer","Eff"
"Microbacterium","Zotu578",0.002,"Spring","Eff"
"Janthinobacterium","Zotu580",0.001,"Fall-Spring-Winter","Eff"
"Thiothrix","Zotu584",0.045,"Spring-Winter","Eff"
"Candidatus_Accumulibacter","Zotu585",0.003,"Spring-Winter","Eff"
"Limnohabitans","Zotu586",0.013,"Fall-Summer","Eff"
"Thiothrix","Zotu587",0.001,"Spring-Winter","Eff"
"Lacihabitans","Zotu593",0.001,"Fall-Summer","Eff"
"Alkanindiges","Zotu602",0.024,"Fall-Summer","Eff"
"uncultured","Zotu603",0.01,"Fall-Spring-Winter","Eff"
"Aeromonas","Zotu604",0.001,"Spring-Winter","Eff"
"uncultured","Zotu607",0.003,"Fall-Spring-Winter","Eff"
"Streptococcus","Zotu608",0.004,"Fall-Summer","Eff"
"uncultured","Zotu610",0.032,"Fall-Summer-Winter","Eff"
"env.OPS_17","Zotu615",0.001,"Spring-Winter","Eff"
"mle1-27","Zotu616",0.018,"Fall-Spring-Winter","Eff"
"Pelomonas","Zotu617",0.003,"Summer","Eff"
"Flavobacterium","Zotu632",0.017,"Spring-Winter","Eff"
"MBA03","Zotu634",0.001,"Winter","Eff"
"M2PB4-65_termite_group","Zotu637",0.001,"Spring-Winter","Eff"
"Flavobacterium","Zotu638",0.001,"Spring-Winter","Eff"
"Paludibacter","Zotu640",0.001,"Spring-Winter","Eff"
"Lactococcus","Zotu641",0.001,"Fall-Summer","Eff"
"Hydrogenophaga","Zotu642",0.004,"Fall-Spring","Eff"
"Ottowia","Zotu643",0.032,"Summer","Eff"
"Fluviicola","Zotu645",0.003,"Winter","Eff"
"Leucobacter","Zotu646",0.004,"Fall-Spring-Winter","Eff"
"T34","Zotu647",0.003,"Spring-Winter","Eff"
"Christensenellaceae_R-7_group","Zotu650",0.006,"Fall-Summer","Eff"
"Saccharimonadales","Zotu654",0.042,"Spring-Winter","Eff"
"Leucobacter","Zotu655",0.001,"Fall-Summer","Eff"
"uncultured","Zotu656",0.011,"Winter","Eff"
"[Agitococcus]_lubricus_group","Zotu657",0.002,"Fall","Eff"
"Bifidobacterium","Zotu661",0.001,"Fall-Summer-Winter","Eff"
"SD04E11","Zotu663",0.005,"Fall-Spring-Winter","Eff"
"Haliscomenobacter","Zotu664",0.001,"Spring-Winter","Eff"
"Limnohabitans","Zotu667",0.009,"Fall-Summer","Eff"
"[Eubacterium]_coprostanoligenes_group","Zotu668",0.021,"Fall-Spring-Winter","Eff"
"Edaphobaculum","Zotu669",0.017,"Spring","Eff"
"Acinetobacter","Zotu670",0.018,"Spring","Eff"
"Hydrogenophaga","Zotu672",0.038,"Fall-Winter","Eff"
"Lactococcus","Zotu674",0.006,"Summer","Eff"
"Arcobacter","Zotu675",0.004,"Spring-Winter","Eff"
"Vitreoscilla","Zotu680",0.018,"Spring-Winter","Eff"
"Tetrasphaera","Zotu682",0.002,"Winter","Eff"
"uncultured","Zotu683",0.003,"Spring-Winter","Eff"
"Romboutsia","Zotu684",0.001,"Fall-Spring-Winter","Eff"
"uncultured","Zotu685",0.001,"Fall-Summer","Eff"
"Flavobacterium","Zotu687",0.001,"Fall-Winter","Eff"
"Haliangium","Zotu693",0.027,"Fall-Summer","Eff"
"Rhizobacter","Zotu695",0.001,"Fall-Summer","Eff"
"[Agitococcus]_lubricus_group","Zotu699",0.035,"Fall-Summer-Winter","Eff"
"Hydrogenophaga","Zotu700",0.006,"Spring-Winter","Eff"
"Mitochondria","Zotu702",0.003,"Spring-Winter","Eff"
"NS11-12_marine_group","Zotu703",0.001,"Spring-Winter","Eff"
"uncultured","Zotu711",0.048,"Fall-Summer","Eff"
"uncultured","Zotu716",0.027,"Fall-Summer","Eff"
"Defluviitoga","Zotu718",0.001,"Fall-Summer","Eff"
"Alcaligenaceae","Zotu722",0.022,"Summer","Eff"
"SH-PL14","Zotu724",0.012,"Fall","Eff"
"Hydrogenophaga","Zotu730",0.001,"Winter","Eff"
"uncultured","Zotu733",0.001,"Fall-Summer","Eff"
"Acinetobacter","Zotu734",0.031,"Spring-Winter","Eff"
"Thiothrix","Zotu735",0.007,"Spring-Winter","Eff"
"Izemoplasmatales","Zotu736",0.047,"Spring-Winter","Eff"
"Beggiatoa","Zotu738",0.001,"Fall-Summer","Eff"
"Acidovorax","Zotu741",0.004,"Winter","Eff"
"Acinetobacter","Zotu743",0.001,"Spring","Eff"
"Propionivibrio","Zotu745",0.028,"Fall-Winter","Eff"
"Thermomonas","Zotu749",0.004,"Fall-Spring-Winter","Eff"
"Pseudomonas","Zotu750",0.033,"Fall-Winter","Eff"
"env.OPS_17","Zotu753",0.001,"Spring-Winter","Eff"
"Chryseobacterium","Zotu754",0.001,"Spring-Winter","Eff"
"Zoogloea","Zotu756",0.001,"Spring-Winter","Eff"
"uncultured","Zotu757",0.001,"Fall-Summer","Eff"
"uncultured","Zotu758",0.027,"Summer","Eff"
"Cloacibacterium","Zotu759",0.03,"Fall","Eff"
"Cloacibacterium","Zotu764",0.001,"Fall-Summer","Eff"
"Zoogloea","Zotu766",0.001,"Fall-Summer","Eff"
"PB19","Zotu768",0.028,"Fall-Summer-Winter","Eff"
"Tolumonas","Zotu769",0.001,"Fall","Eff"
"Hydrogenedensaceae","Zotu770",0.006,"Spring-Winter","Eff"
"Pajaroellobacter","Zotu774",0.013,"Fall-Summer","Eff"
"Paracoccus","Zotu775",0.026,"Fall-Spring-Winter","Eff"
"Halomonas","Zotu781",0.001,"Fall-Summer","Eff"
"Sphingobium","Zotu784",0.03,"Fall-Winter","Eff"
"Acinetobacter","Zotu785",0.001,"Spring-Winter","Eff"
"uncultured","Zotu787",0.001,"Fall","Eff"
"Hydrogenophaga","Zotu789",0.013,"Fall-Spring-Winter","Eff"
"Fluviicola","Zotu790",0.003,"Fall-Summer","Eff"
"Lactococcus","Zotu791",0.001,"Winter","Eff"
"[Agitococcus]_lubricus_group","Zotu792",0.001,"Spring-Winter","Eff"
"Dechloromonas","Zotu793",0.043,"Fall","Eff"
"Hydrogenophaga","Zotu795",0.047,"Spring-Summer","Eff"
"Edaphobaculum","Zotu798",0.001,"Spring-Winter","Eff"
"Comamonas","Zotu803",0.001,"Fall-Spring-Winter","Eff"
"Lactococcus","Zotu805",0.012,"Fall-Summer","Eff"
"Defluviitalea","Zotu806",0.024,"Fall-Summer","Eff"
"Turicibacter","Zotu807",0.001,"Spring-Winter","Eff"
"uncultured","Zotu812",0.001,"Fall-Spring-Winter","Eff"
"Hungateiclostridium","Zotu815",0.001,"Spring-Winter","Eff"
"Galbitalea","Zotu816",0.023,"Fall-Summer","Eff"
"uncultured","Zotu819",0.001,"Spring-Winter","Eff"
"Acidovorax","Zotu820",0.001,"Fall-Summer-Winter","Eff"
"Bifidobacterium","Zotu822",0.025,"Spring-Winter","Eff"
"UCG-010","Zotu825",0.001,"Winter","Eff"
"uncultured","Zotu829",0.024,"Fall-Winter","Eff"
"MBA03","Zotu832",0.003,"Fall-Spring-Winter","Eff"
"Flavobacterium","Zotu833",0.026,"Fall","Eff"
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Zotu835",0.006,"Fall-Summer-Winter","Eff"
"Ottowia","Zotu837",0.001,"Fall-Summer-Winter","Eff"
"Verrucomicrobium","Zotu841",0.006,"Fall-Summer","Eff"
"Vitreoscilla","Zotu846",0.047,"Fall-Summer-Winter","Eff"
"Enhydrobacter","Zotu847",0.003,"Fall-Summer","Eff"
"Chryseobacterium","Zotu849",0.005,"Fall-Summer","Eff"
"Defluviitoga","Zotu851",0.042,"Fall-Spring-Summer","Eff"
"Cupriavidus","Zotu852",0.021,"Fall-Spring-Winter","Eff"
"Geothrix","Zotu853",0.005,"Fall-Summer","Eff"
"KD1-131","Zotu859",0.004,"Fall-Summer-Winter","Eff"
"Flavobacterium","Zotu861",0.001,"Spring-Winter","Eff"
"Thiothrix","Zotu862",0.002,"Spring-Winter","Eff"
"WCHB1-32","Zotu865",0.001,"Spring-Winter","Eff"
"Sulfuricurvum","Zotu866",0.001,"Fall-Spring-Winter","Eff"
"Leucobacter","Zotu867",0.001,"Fall-Summer","Eff"
"Acinetobacter","Zotu868",0.004,"Fall-Spring-Winter","Eff"
"Acetomicrobium","Zotu874",0.003,"Fall-Summer-Winter","Eff"
"Mitochondria","Zotu877",0.048,"Fall-Summer","Eff"
"Prosthecobacter","Zotu884",0.001,"Fall-Summer-Winter","Eff"
"Pedobacter","Zotu888",0.03,"Fall-Summer","Eff"
"Sphaerotilus","Zotu890",0.013,"Fall-Winter","Eff"
"Turneriella","Zotu894",0.001,"Spring-Winter","Eff"
"uncultured","Zotu895",0.001,"Summer","Eff"
"Sphaerotilus","Zotu899",0.042,"Fall","Eff"
"uncultured","Zotu901",0.04,"Fall-Summer","Eff"
"Erysipelothrix","Zotu902",0.004,"Fall-Spring-Winter","Eff"
"Flavobacterium","Zotu906",0.003,"Fall-Summer","Eff"
"uncultured","Zotu907",0.001,"Fall-Summer-Winter","Eff"
"Zoogloea","Zotu912",0.003,"Spring-Winter","Eff"
"37-13","Zotu916",0.002,"Fall-Summer-Winter","Eff"
"Edaphobaculum","Zotu917",0.001,"Spring-Winter","Eff"
"Coprothermobacter","Zotu918",0.046,"Fall-Summer","Eff"
"Dechloromonas","Zotu921",0.008,"Spring-Winter","Eff"
"Flavobacterium","Zotu922",0.011,"Fall","Eff"
"Subdoligranulum","Zotu925",0.002,"Spring-Winter","Eff"
"Alkanindiges","Zotu926",0.002,"Fall-Spring-Winter","Eff"
"[Agitococcus]_lubricus_group","Zotu928",0.003,"Fall-Spring-Winter","Eff"
"uncultured","Zotu934",0.046,"Fall-Summer","Eff"
"Lentimicrobiaceae","Zotu936",0.037,"Fall-Summer","Eff"
"uncultured","Zotu941",0.001,"Spring-Winter","Eff"
"Sediminibacterium","Zotu945",0.001,"Fall-Summer-Winter","Eff"
"Nocardioides","Zotu946",0.034,"Spring-Winter","Eff"
"MBA03","Zotu948",0.005,"Summer","Eff"
"Lentimicrobiaceae","Zotu951",0.001,"Fall-Spring-Winter","Eff"
"Macellibacteroides","Zotu957",0.038,"Fall","Eff"
"Lactococcus","Zotu963",0.01,"Fall-Winter","Eff"
"Lactococcus","Zotu964",0.016,"Winter","Eff"
"T34","Zotu970",0.001,"Fall-Summer","Eff"
"uncultured","Zotu975",0.018,"Spring-Winter","Eff"
"Lactococcus","Zotu980",0.001,"Spring-Winter","Eff"
"Halomonas","Zotu981",0.001,"Fall-Summer","Eff"
"Acinetobacter","Zotu986",0.02,"Fall-Spring-Winter","Eff"
"Uruburuella","Zotu988",0.002,"Spring-Winter","Eff"
"Romboutsia","Zotu990",0.001,"Summer","Eff"
"Pseudarcobacter","Zotu995",0.023,"Spring","Eff"
"Trichococcus","Zotu997",0.019,"Winter","Eff"
"Iamia","Zotu999",0.001,"Spring-Winter","Eff"
"T34","Zotu1000",0.03,"Fall-Summer","Eff"
"Zoogloea","Zotu1001",0.029,"Summer","Eff"
"[Desulfobacterium]_catecholicum_group","Zotu1002",0.002,"Fall-Spring-Winter","Eff"
"Limnohabitans","Zotu1003",0.001,"Spring-Winter","Eff"
"T34","Zotu1004",0.047,"Fall","Eff"
"Iamia","Zotu1010",0.001,"Spring","Eff"
"Rhodobacter","Zotu1011",0.001,"Fall-Summer","Eff"
"D8A-2","Zotu1019",0.001,"Spring-Winter","Eff"
"Zoogloea","Zotu1020",0.001,"Spring-Winter","Eff"
"WCHB1-32","Zotu1021",0.048,"Fall-Summer","Eff"
"Uruburuella","Zotu1023",0.015,"Spring","Eff"
"Cloacibacterium","Zotu1027",0.003,"Fall","Eff"
"Hungateiclostridiaceae","Zotu1028",0.003,"Fall-Spring-Winter","Eff"
"CL500-29_marine_group","Zotu1032",0.001,"Fall-Summer","Eff"
"Collinsella","Zotu1033",0.008,"Fall-Spring-Winter","Eff"
"Propionivibrio","Zotu1034",0.033,"Summer","Eff"
"Bosea","Zotu1037",0.001,"Spring-Winter","Eff"
"Pseudomonas","Zotu1038",0.012,"Spring-Winter","Eff"
"uncultured","Zotu1039",0.017,"Spring","Eff"
"Aeromonas","Zotu1042",0.029,"Fall-Summer","Eff"
"Hydrogenophaga","Zotu1045",0.002,"Spring-Winter","Eff"
"Jatrophihabitans","Zotu1046",0.001,"Spring-Winter","Eff"
"Acinetobacter","Zotu1050",0.029,"Spring-Winter","Eff"
"Acinetobacter","Zotu1053",0.002,"Spring-Winter","Eff"
"Flavobacterium","Zotu1056",0.01,"Winter","Eff"
"uncultured","Zotu1058",0.028,"Fall-Summer","Eff"
"uncultured","Zotu1059",0.015,"Fall-Summer","Eff"
"Zoogloea","Zotu1060",0.001,"Spring-Winter","Eff"
"Pseudarcobacter","Zotu1062",0.001,"Winter","Eff"
"Mitochondria","Zotu1065",0.001,"Spring-Winter","Eff"
"Zoogloea","Zotu1068",0.002,"Spring-Winter","Eff"
"Defluviitalea","Zotu1070",0.008,"Fall-Summer","Eff"
"Acidovorax","Zotu1072",0.004,"Fall-Summer","Eff"
"Acinetobacter","Zotu1073",0.015,"Spring","Eff"
"Limnohabitans","Zotu1075",0.041,"Fall-Summer","Eff"
"Flavobacterium","Zotu1079",0.001,"Fall-Summer","Eff"
"Ferruginibacter","Zotu1083",0.001,"Fall-Spring-Winter","Eff"
"Flavobacterium","Zotu1084",0.013,"Fall-Winter","Eff"
"Pseudomonas","Zotu1085",0.001,"Winter","Eff"
"Ferruginibacter","Zotu1097",0.009,"Fall-Winter","Eff"
"Propionicimonas","Zotu1098",0.013,"Fall-Spring-Winter","Eff"
"Runella","Zotu1099",0.001,"Fall-Summer-Winter","Eff"
"uncultured","Zotu1100",0.001,"Spring-Winter","Eff"
"Ferruginibacter","Zotu1101",0.007,"Fall-Spring-Winter","Eff"
"Streptococcus","Zotu1103",0.004,"Spring-Winter","Eff"
"Pedobacter","Zotu1105",0.018,"Spring-Winter","Eff"
"Devosia","Zotu1106",0.001,"Fall-Summer","Eff"
"uncultured","Zotu1107",0.018,"Spring-Winter","Eff"
"Romboutsia","Zotu1108",0.001,"Fall-Summer-Winter","Eff"
"Chryseobacterium","Zotu1111",0.003,"Spring-Summer-Winter","Eff"
"Haliangium","Zotu1114",0.03,"Spring-Winter","Eff"
"Sericytochromatia","Zotu1120",0.001,"Spring-Summer-Winter","Eff"
"uncultured","Zotu1121",0.001,"Spring-Winter","Eff"
"CL500-29_marine_group","Zotu1123",0.004,"Winter","Eff"
"Rurimicrobium","Zotu1124",0.001,"Fall-Summer","Eff"
"Hydrogenophaga","Zotu1125",0.001,"Fall-Summer","Eff"
"uncultured","Zotu1128",0.001,"Spring","Eff"
"Dechloromonas","Zotu1133",0.026,"Fall-Summer","Eff"
"PeM15","Zotu1138",0.009,"Spring-Winter","Eff"
"uncultured","Zotu1139",0.026,"Summer","Eff"
"WCHB1-32","Zotu1141",0.001,"Winter","Eff"
"Rhodobacter","Zotu1145",0.002,"Fall","Eff"
"Aquabacterium","Zotu1148",0.001,"Spring-Winter","Eff"
"uncultured","Zotu1149",0.004,"Summer","Eff"
"uncultured","Zotu1151",0.015,"Spring-Winter","Eff"
"Prosthecomicrobium","Zotu1152",0.012,"Fall-Spring-Winter","Eff"
"Dechloromonas","Zotu1157",0.001,"Fall-Summer","Eff"
"Acinetobacter","Zotu1159",0.018,"Fall-Spring-Winter","Eff"
"Dechloromonas","Zotu1165",0.004,"Fall-Spring-Winter","Eff"
"Rhodoferax","Zotu1167",0.001,"Fall-Summer","Eff"
"SM2D12","Zotu1169",0.023,"Fall","Eff"
"Novosphingobium","Zotu1176",0.002,"Spring-Winter","Eff"
"[Agitococcus]_lubricus_group","Zotu1180",0.03,"Summer","Eff"
"Imtechella","Zotu1181",0.001,"Spring-Winter","Eff"
"uncultured","Zotu1185",0.001,"Spring-Winter","Eff"
"Coprothermobacter","Zotu1187",0.003,"Winter","Eff"
"Devosia","Zotu1188",0.001,"Fall-Winter","Eff"
"uncultured","Zotu1192",0.001,"Fall","Eff"
"Zoogloea","Zotu1194",0.04,"Spring-Winter","Eff"
"Saccharimonadales","Zotu1200",0.001,"Spring-Winter","Eff"
"Enhydrobacter","Zotu1201",0.001,"Spring-Winter","Eff"
"Sphaerotilus","Zotu1204",0.005,"Fall-Winter","Eff"
"Babeliales","Zotu1212",0.001,"Fall-Spring-Winter","Eff"
"Hydrogenispora","Zotu1217",0.001,"Spring-Winter","Eff"
"[Agitococcus]_lubricus_group","Zotu1222",0.041,"Fall","Eff"
"Prevotella","Zotu1226",0.021,"Spring-Winter","Eff"
"JTB23","Zotu1229",0.016,"Fall-Summer-Winter","Eff"
"Rhodoferax","Zotu1230",0.001,"Spring-Winter","Eff"
"Candidatus_Accumulibacter","Zotu1231",0.009,"Fall","Eff"
"Coprothermobacter","Zotu1232",0.025,"Spring","Eff"
"Pseudomonas","Zotu1234",0.004,"Fall-Spring-Winter","Eff"
"Limnohabitans","Zotu1235",0.001,"Fall-Summer","Eff"
"WCHB1-32","Zotu1236",0.011,"Spring-Winter","Eff"
"Acidovorax","Zotu1238",0.001,"Spring-Winter","Eff"
"uncultured","Zotu1239",0.001,"Fall-Spring-Winter","Eff"
"Coprothermobacter","Zotu1241",0.001,"Spring","Eff"
"Thiothrix","Zotu1244",0.001,"Fall-Summer","Eff"
"Trichococcus","Zotu1248",0.018,"Fall","Eff"
"Aeromonas","Zotu1249",0.004,"Fall-Spring-Winter","Eff"
"uncultured","Zotu1252",0.001,"Spring-Winter","Eff"
"TM7a","Zotu1255",0.001,"Spring-Winter","Eff"
"uncultured","Zotu1260",0.001,"Spring-Winter","Eff"
"Fluviicoccus","Zotu1264",0.042,"Spring-Winter","Eff"
"Chiayiivirga","Zotu1266",0.014,"Spring-Winter","Eff"
"Zoogloea","Zotu1267",0.001,"Fall-Spring-Winter","Eff"
"Deinococcus","Zotu1269",0.005,"Winter","Eff"
"Acinetobacter","Zotu1270",0.013,"Spring-Winter","Eff"
"uncultured","Zotu1271",0.001,"Fall-Summer","Eff"
"Zoogloea","Zotu1272",0.013,"Fall-Spring-Winter","Eff"
"Halomonas","Zotu1276",0.001,"Fall-Summer","Eff"
"Comamonas","Zotu1277",0.003,"Fall-Spring-Winter","Eff"
"Zoogloea","Zotu1278",0.001,"Winter","Eff"
"Acinetobacter","Zotu1284",0.019,"Spring-Winter","Eff"
"Collinsella","Zotu1285",0.002,"Fall","Eff"
"Imtechella","Zotu1289",0.001,"Fall-Summer","Eff"
"Turneriella","Zotu1290",0.001,"Spring-Winter","Eff"
"Limnohabitans","Zotu1291",0.016,"Spring-Winter","Eff"
"uncultured","Zotu1296",0.018,"Fall-Spring-Summer","Eff"
"Deinococcus","Zotu1298",0.001,"Fall-Summer","Eff"
"Bdellovibrio","Zotu1301",0.01,"Fall-Spring","Eff"
"uncultured","Zotu1302",0.002,"Fall-Summer","Eff"
"Fluviicoccus","Zotu1306",0.004,"Fall","Eff"
"Comamonas","Zotu1307",0.036,"Fall-Summer-Winter","Eff"
"Acinetobacter","Zotu1309",0.001,"Spring","Eff"
"env.OPS_17","Zotu1316",0.002,"Fall-Summer","Eff"
"Methylorosula","Zotu1318",0.001,"Spring","Eff"
"Brachymonas","Zotu1320",0.006,"Summer","Eff"
"Coprothermobacter","Zotu1322",0.001,"Fall-Spring-Winter","Eff"
"uncultured","Zotu1325",0.005,"Fall","Eff"
"Pajaroellobacter","Zotu1327",0.001,"Fall-Spring-Winter","Eff"
"Propioniciclava","Zotu1329",0.004,"Winter","Eff"
